Startnr;Bricka;Databas nr.;Efternamn;Förnamn;År;K;Block;ut;Start;Mål;Tid;Status;Klubb nr.;Namn;Ort;Land;Klass nr.;Kort;Lång;Num1;Num2;Num3;Text1;Text2;Text3;Adr. namn;Gata;Rad 2;Post nr.;Ort;Tel;Fax;E-post;Id/Club;Hyrd;Startavgift;Betalt;Bana nr.;Bana;km;Hm;Bana kontroller;Pl
17;889984;0;Critchley;Will;0;;;;16:21:15;16:32:26;11:11;0;1187;;"YAOC, Hong Kong";;1;Short;Short;;;;;;;;;;;;;;;;0;0;0;1;Short;;0;14;1
7;354247;0;Enger;Will;0;;;;16:36:59;16:49:15;12:16;0;1015;;Sammamish;;1;Short;Short;;;;;;;;;;;;;;;;0;0;0;1;Short;;0;14;2
51;910707;0;Rennie;Graeme;0;;;;15:52:28;16:05:13;12:45;0;761;;GVOC;;1;Short;Short;;;;;;;;;;;;;;;;0;0;0;1;Short;;0;14;3
95;2038926;0;Saari;Ian;0;;;;16:11:22;16:24:17;12:55;0;761;;GVOC;;1;Short;Short;;;;;;;;;;;;;;;;0;0;0;1;Short;;0;14;4
91;2038925;0;Harris;Nick;0;;;;15:50:31;16:03:26;12:55;0;761;;GVOC;;1;Short;Short;;;;;;;;;;;;;;;;0;0;0;1;Short;;0;14;4
4;1955555;0;Nachev;Nikolay;0;;;;16:10:29;16:23:26;12:57;0;1013;;"Cascade OC";;1;Short;Short;;;;;;;;;;;;;;;;0;0;0;1;Short;;0;14;6
16;982092;0;Hubsch;Will;0;;;;16:17:35;16:30:35;13:00;0;1020;;"Los Angeles Orienteering Club";;1;Short;Short;;;;;;;;;;;;;;;;0;0;0;1;Short;;0;14;7
114;730808;0;Johansson;Magnus;0;;;;15:55:52;16:08:57;13:05;0;761;;GVOC;;1;Short;Short;;;;;;;;;;;;;;;;0;0;0;1;Short;;0;14;8
84;1391704;0;Woods;Adam;0;;;;16:27:30;16:40:48;13:18;0;761;;GVOC;;1;Short;Short;;;;;;;;;;;;;;;;0;0;0;1;Short;;0;14;9
61;7200134;0;Porter;Russell;0;;;;16:42:49;16:56:11;13:22;0;761;;GVOC;;1;Short;Short;;;;;;;;;;;;;;;;0;0;0;1;Short;;0;14;10
46;2038918;0;Collings;Ian;0;;;;16:12:22;16:25:53;13:31;0;761;;GVOC;;1;Short;Short;;;;;;;;;;;;;;;;0;0;0;1;Short;;0;14;11
60;9602509;0;Pearson;Forest;0;;;;16:23:42;16:37:25;13:43;0;1197;;"Yukon Orienteering";;1;Short;Short;;;;;;;;;;;;;;;;0;0;0;1;Short;;0;14;12
57;2012274;0;Svoboda;Michael;0;;;;16:30:37;16:44:33;13:56;0;1016;;FWOC;;1;Short;Short;;;;;;;;;;;;;;;;0;0;0;1;Short;;0;14;13
72;504006;0;McMillan;Roan;0;;;;16:24:39;16:38:35;13:56;0;761;;GVOC;;1;Short;Short;;;;;;;;;;;;;;;;0;0;0;1;Short;;0;14;13
18;790819;0;Saile;Patrick;0;;;;16:19:39;16:33:40;14:01;0;1;;"DontGetLost Adventure Running";;1;Short;Short;;;;;;;;;;;;;;;;0;0;0;1;Short;;0;14;15
3;43855;0;Winterbottom;Rex;0;;;;16:43:45;16:57:46;14:01;0;1012;;BAOC;;1;Short;Short;;;;;;;;;;;;;;;;0;0;0;1;Short;;0;14;15
54;1391722;0;Muma;Scott;0;;;;16:44:26;16:58:38;14:12;0;761;;GVOC;;1;Short;Short;;;;;;;;;;;;;;;;0;0;0;1;Short;;0;14;17
66;417108;0;Yip;Gerald;0;;;;16:19:12;16:33:31;14:19;0;1198;;HKIOF;;1;Short;Short;;;;;;;;;;;;;;;;0;0;0;1;Short;;0;14;18
64;886820;0;Low;Adrian;0;;;;16:05:57;16:20:17;14:20;0;761;;GVOC;;1;Short;Short;;;;;;;;;;;;;;;;0;0;0;1;Short;;0;14;19
49;2038919;0;Kesteven;Jared;0;;;;16:13:55;16:28:30;14:35;0;761;;GVOC;;1;Short;Short;;;;;;;;;;;;;;;;0;0;0;1;Short;;0;14;20
69;771125;0;Rufenacht;Christoph;0;;;;15:54:23;16:08:59;14:36;0;761;;GVOC;;1;Short;Short;;;;;;;;;;;;;;;;0;0;0;1;Short;;0;14;21
11;504076;0;Bone;Eric;0;;;;16:04:10;16:18:49;14:39;0;1013;;"Cascade OC";;1;Short;Short;;;;;;;;;;;;;;;;0;0;0;1;Short;;0;14;22
50;2038920;0;Fernandez;Sergio;0;;;;15:53:16;16:07:59;14:43;0;761;;GVOC;;1;Short;Short;;;;;;;;;;;;;;;;0;0;0;1;Short;;0;14;23
103;504083;0;Rascher;Michael;0;;;;16:28:53;16:43:46;14:53;0;761;;GVOC;;1;Short;Short;;;;;;;;;;;;;;;;0;0;0;1;Short;;0;14;24
26;1392024;0;Borish;Tori;0;;;;16:04:49;16:19:42;14:53;0;2;;COC;;1;Short;Short;;;;;;;;;;;;;;;;0;0;0;1;Short;;0;14;24
70;341475;0;Hoofd;Catherine;0;;;;16:46:37;17:01:35;14:58;0;761;;GVOC;;1;Short;Short;;;;;;;;;;;;;;;;0;0;0;1;Short;;0;14;26
1;888008;0;Waddington;Mike;0;;;;16:20:10;16:35:10;15:00;0;1;;"DontGetLost Adventure Running";;1;Short;Short;;;;;;;;;;;;;;;;0;0;0;1;Short;;0;14;27
99;2042532;0;Borák;Michal;0;;;;16:05:23;16:20:34;15:11;0;761;;GVOC;;1;Short;Short;;;;;;;;;;;;;;;;0;0;0;1;Short;;0;14;28
37;504009;0;Frank;Alex;0;;;;15:53:53;16:09:07;15:14;0;1013;;"Cascade OC";;1;Short;Short;;;;;;;;;;;;;;;;0;0;0;1;Short;;0;14;29
44;602525;0;Blake;Leif;0;;;;16:09:23;16:24:43;15:20;0;1017;;YOA;;1;Short;Short;;;;;;;;;;;;;;;;0;0;0;1;Short;;0;14;30
93;2034219;0;Rogers;Mathew;0;;;;16:07:55;16:23:29;15:34;0;2;;COC;;1;Short;Short;;;;;;;;;;;;;;;;0;0;0;1;Short;;0;14;31
